learner_id,prior_knowledge_level,learning_style,baseline_quiz_score,module_id,topic,difficulty_level,content_type,estimated_time,time_spent,attempts,clicks,engagement_score,quiz_score,mastery_level,retention_score,reward
L002,Low,Mixed,52,C006,Acids & Bases,1,Video,1380,1522,2,2,1.3,52,Intermediate,51,0
L002,Low,Mixed,52,C026,Kinetics,2,Quiz,600,738,3,8,2.03,16,Beginner,21,0
L002,Low,Mixed,52,C045,Equilibrium,5,Simulation,1440,943,2,6,1.25,85,Advanced,85,1
L002,Low,Mixed,52,C044,Electrochemistry,1,Quiz,780,548,1,3,1.0,19,Beginner,26,0
L002,Low,Mixed,52,C010,Atomic Structure,3,Quiz,420,348,3,3,1.13,19,Beginner,23,0
L002,Low,Mixed,52,C025,Equilibrium,4,Video,780,564,2,8,1.52,0,Beginner,0,0
L002,Low,Mixed,52,C027,Acids & Bases,4,Simulation,1320,1933,3,14,2.86,41,Intermediate,49,0
L002,Low,Mixed,52,C018,Atomic Structure,4,Video,1200,1281,1,2,1.27,0,Beginner,-5,0
L002,Low,Mixed,52,C039,Acids & Bases,4,Simulation,540,751,1,11,2.49,8,Beginner,10,0
L002,Low,Mixed,52,C035,Equilibrium,3,Text,1380,1596,2,8,1.96,32,Beginner,23,0
L002,Low,Mixed,52,C003,Equilibrium,3,Quiz,1260,1372,2,8,1.89,83,Advanced,91,1
L002,Low,Mixed,52,C044,Atomic Structure,1,Simulation,420,401,3,13,2.25,40,Intermediate,47,0
L002,Low,Mixed,52,C012,Equilibrium,1,Video,480,201,1,14,1.82,20,Beginner,15,0
L002,Low,Mixed,52,C039,Acids & Bases,4,Simulation,720,811,1,12,2.33,58,Intermediate,50,0
L002,Low,Mixed,52,C024,Atomic Structure,5,Simulation,1380,1769,2,8,2.08,26,Beginner,35,0
L003,High,Visual,40,C012,Acids & Bases,1,Text,1140,659,1,3,0.88,3,Beginner,11,0
L003,High,Visual,40,C033,Acids & Bases,1,Simulation,1260,1246,2,13,2.29,45,Intermediate,50,0
L003,High,Visual,40,C007,Kinetics,3,Text,780,750,2,5,1.46,94,Advanced,102,1
L003,High,Visual,40,C030,Equilibrium,4,Simulation,300,330,3,13,2.4,84,Advanced,94,1
L003,High,Visual,40,C036,Organic Chemistry,3,Quiz,1320,1601,2,3,1.51,45,Intermediate,38,0
L003,High,Visual,40,C025,Organic Chemistry,2,Quiz,840,863,2,10,2.03,16,Beginner,19,0
L003,High,Visual,40,C018,Equilibrium,1,Quiz,780,555,1,10,1.71,25,Beginner,33,0
L003,High,Visual,40,C001,Organic Chemistry,2,Text,1020,1442,2,7,2.11,56,Intermediate,63,0
L003,High,Visual,40,C049,Equilibrium,5,Quiz,1440,2014,2,12,2.6,86,Advanced,82,1
L003,High,Visual,40,C044,Atomic Structure,4,Simulation,360,466,2,7,1.99,62,Intermediate,54,1
L003,High,Visual,40,C044,Organic Chemistry,1,Text,1260,922,1,8,1.53,52,Intermediate,51,0
L003,High,Visual,40,C049,Organic Chemistry,4,Simulation,540,485,3,4,1.3,5,Beginner,3,0
L003,High,Visual,40,C007,Atomic Structure,4,Simulation,1140,878,1,2,0.97,29,Beginner,21,0
L003,High,Visual,40,C032,Equilibrium,1,Quiz,1380,1554,2,7,1.83,89,Advanced,95,1
L003,High,Visual,40,C035,Equilibrium,2,Text,780,693,2,1,0.99,33,Beginner,28,0
L003,High,Visual,40,C019,Equilibrium,1,Text,720,753,1,5,1.55,0,Beginner,-5,0
L003,High,Visual,40,C015,Thermodynamics,5,Quiz,660,504,1,7,1.46,66,Intermediate,65,1
L003,High,Visual,40,C029,Equilibrium,2,Text,1200,1892,3,5,2.08,85,Advanced,82,1
L003,High,Visual,40,C046,Acids & Bases,4,Simulation,540,494,2,4,1.31,68,Intermediate,67,1
L003,High,Visual,40,C011,Equilibrium,2,Text,1200,982,1,7,1.52,99,Advanced,109,1
L004,Medium,Visual,49,C049,Electrochemistry,5,Text,840,840,1,13,2.3,3,Beginner,-2,0
L004,Medium,Visual,49,C031,Thermodynamics,2,Video,1260,1545,3,4,1.63,23,Beginner,22,0
L004,Medium,Visual,49,C043,Atomic Structure,2,Quiz,420,342,3,11,1.91,100,Advanced,99,1
L004,Medium,Visual,49,C010,Equilibrium,3,Quiz,300,490,1,8,2.43,73,Advanced,73,1
L004,Medium,Visual,49,C024,Thermodynamics,4,Simulation,1020,853,1,3,1.14,34,Beginner,28,0
L004,Medium,Visual,49,C048,Equilibrium,2,Video,720,446,1,10,1.62,73,Advanced,82,1
L004,Medium,Visual,49,C030,Acids & Bases,3,Text,780,1236,2,13,2.88,74,Advanced,81,1
L004,Medium,Visual,49,C043,Kinetics,1,Quiz,480,474,2,5,1.49,72,Advanced,80,1
L004,Medium,Visual,49,C002,Electrochemistry,1,Video,420,194,3,8,1.26,22,Beginner,28,0
L004,Medium,Visual,49,C031,Acids & Bases,4,Quiz,1260,798,3,13,1.93,22,Beginner,30,0
L004,Medium,Visual,49,C046,Equilibrium,1,Text,1260,1136,1,6,1.5,12,Beginner,4,0
L004,Medium,Visual,49,C011,Electrochemistry,1,Simulation,480,948,1,9,2.88,18,Beginner,17,0
L004,Medium,Visual,49,C010,Electrochemistry,1,Video,660,680,3,10,2.03,15,Beginner,21,0
L004,Medium,Visual,49,C009,Thermodynamics,3,Simulation,960,1037,1,4,1.48,84,Advanced,91,1
L004,Medium,Visual,49,C045,Atomic Structure,5,Quiz,1200,948,3,10,1.79,4,Beginner,12,0
L004,Medium,Visual,49,C032,Acids & Bases,5,Simulation,900,897,3,2,1.2,75,Advanced,77,1
L004,Medium,Visual,49,C024,Acids & Bases,2,Text,960,976,2,13,2.32,39,Beginner,40,0
L004,Medium,Visual,49,C049,Kinetics,1,Simulation,1320,1343,3,10,2.02,65,Intermediate,71,1
L004,Medium,Visual,49,C010,Equilibrium,5,Video,540,612,1,1,1.23,85,Advanced,76,1
L004,Medium,Visual,49,C029,Kinetics,1,Video,660,370,1,13,1.86,3,Beginner,10,0
L005,Medium,Textual,25,C022,Kinetics,4,Simulation,1380,1508,3,10,2.09,89,Advanced,81,1
L005,Medium,Textual,25,C013,Organic Chemistry,3,Video,1020,1471,1,2,1.64,91,Advanced,82,1
L005,Medium,Textual,25,C048,Organic Chemistry,4,Simulation,720,789,1,3,1.4,76,Advanced,70,1
L005,Medium,Textual,25,C017,Electrochemistry,1,Simulation,300,225,2,5,1.25,5,Beginner,4,0
L005,Medium,Textual,25,C022,Acids & Bases,5,Simulation,1020,1088,1,4,1.47,98,Advanced,90,1
L005,Medium,Textual,25,C034,Electrochemistry,4,Text,1320,1324,3,9,1.9,48,Intermediate,45,0
L005,Medium,Textual,25,C022,Electrochemistry,1,Video,420,406,1,8,1.77,91,Advanced,98,1
L005,Medium,Textual,25,C045,Thermodynamics,2,Simulation,720,930,2,12,2.49,49,Intermediate,55,0
L005,Medium,Textual,25,C011,Kinetics,1,Video,480,204,1,12,1.62,28,Beginner,26,0
L005,Medium,Textual,25,C021,Acids & Bases,3,Quiz,600,665,2,3,1.41,68,Intermediate,64,1
L005,Medium,Textual,25,C037,Kinetics,1,Simulation,360,226,1,6,1.23,64,Intermediate,57,1
L005,Medium,Textual,25,C006,Atomic Structure,1,Simulation,900,951,1,10,2.06,62,Intermediate,56,1
L005,Medium,Textual,25,C038,Kinetics,5,Video,300,79,1,5,0.76,54,Intermediate,59,0
L005,Medium,Textual,25,C031,Kinetics,4,Simulation,1260,919,1,5,1.23,2,Beginner,8,0
L005,Medium,Textual,25,C004,Kinetics,5,Simulation,540,435,1,14,2.21,72,Advanced,69,1
L005,Medium,Textual,25,C041,Thermodynamics,1,Text,1380,1941,1,13,2.71,3,Beginner,13,0
L005,Medium,Textual,25,C047,Thermodynamics,1,Quiz,720,388,3,10,1.54,33,Beginner,41,0
L005,Medium,Textual,25,C007,Atomic Structure,3,Simulation,1320,1825,1,6,1.98,4,Beginner,-2,0
L005,Medium,Textual,25,C016,Equilibrium,5,Simulation,1080,767,2,12,1.91,97,Advanced,102,1
L005,Medium,Textual,25,C041,Organic Chemistry,2,Video,360,434,2,14,2.61,78,Advanced,70,1
L006,Low,Textual,53,C001,Electrochemistry,4,Video,600,755,2,7,1.96,50,Intermediate,44,0
L006,Low,Textual,53,C021,Organic Chemistry,5,Quiz,480,465,2,8,1.77,16,Beginner,17,0
L006,Low,Textual,53,C043,Acids & Bases,1,Text,1440,1605,1,2,1.31,76,Advanced,76,1
L006,Low,Textual,53,C029,Thermodynamics,3,Text,1200,1188,3,3,1.29,22,Beginner,17,0
L006,Low,Textual,53,C039,Kinetics,3,Text,1200,803,1,3,0.97,95,Advanced,103,0
L006,Low,Textual,53,C048,Organic Chemistry,3,Video,1320,1513,1,10,2.15,50,Intermediate,42,0
L006,Low,Textual,53,C044,Thermodynamics,5,Video,540,332,2,5,1.11,69,Intermediate,79,1
L006,Low,Textual,53,C015,Atomic Structure,5,Simulation,780,475,2,14,2.01,33,Beginner,27,0
L006,Low,Textual,53,C042,Equilibrium,2,Text,1020,828,3,9,1.71,85,Advanced,81,1
L006,Low,Textual,53,C033,Thermodynamics,3,Simulation,1200,1101,1,1,1.02,25,Beginner,32,0
L006,Low,Textual,53,C009,Kinetics,1,Video,720,560,3,8,1.58,85,Advanced,82,1
L006,Low,Textual,53,C004,Electrochemistry,2,Text,1080,1267,2,13,2.47,25,Beginner,22,0
L006,Low,Textual,53,C013,Thermodynamics,3,Simulation,1380,1618,2,11,2.27,17,Beginner,22,0
L006,Low,Textual,53,C044,Acids & Bases,3,Video,1380,1508,3,9,1.99,100,Advanced,101,1
L006,Low,Textual,53,C009,Acids & Bases,1,Quiz,1260,1015,1,1,0.91,12,Beginner,3,0
L006,Low,Textual,53,C026,Acids & Bases,1,Video,480,324,2,3,0.98,17,Beginner,13,0
L006,Low,Textual,53,C018,Electrochemistry,4,Video,1140,1277,1,12,2.32,82,Advanced,83,1
L006,Low,Textual,53,C010,Organic Chemistry,1,Simulation,540,806,2,4,1.89,25,Beginner,34,0
L006,Low,Textual,53,C039,Thermodynamics,3,Quiz,1020,1171,1,6,1.75,20,Beginner,25,0
L006,Low,Textual,53,C018,Organic Chemistry,4,Quiz,900,847,2,14,2.34,93,Advanced,95,1
L007,High,Visual,74,C050,Equilibrium,3,Simulation,1380,1710,3,6,1.84,93,Advanced,98,1
L007,High,Visual,74,C020,Atomic Structure,3,Simulation,360,375,3,11,2.14,7,Beginner,-1,0
L007,High,Visual,74,C044,Thermodynamics,5,Quiz,960,698,1,12,1.93,46,Intermediate,56,0
L007,High,Visual,74,C049,Atomic Structure,2,Quiz,1080,1286,2,5,1.69,10,Beginner,17,0
L007,High,Visual,74,C011,Atomic Structure,5,Quiz,900,433,2,5,0.98,22,Beginner,23,0
L007,High,Visual,74,C030,Kinetics,4,Quiz,360,494,1,8,2.17,1,Beginner,-8,0
L007,High,Visual,74,C001,Organic Chemistry,1,Video,540,927,3,14,3.12,94,Advanced,88,1
L007,High,Visual,74,C001,Atomic Structure,5,Text,960,785,2,14,2.22,74,Advanced,76,1
L007,High,Visual,74,C035,Organic Chemistry,2,Simulation,960,1152,2,12,2.4,63,Intermediate,66,1
L007,High,Visual,74,C029,Atomic Structure,3,Video,780,735,1,14,2.34,59,Intermediate,67,0
L007,High,Visual,74,C016,Electrochemistry,5,Quiz,540,628,2,14,2.56,3,Beginner,1,0
L007,High,Visual,74,C030,Kinetics,2,Simulation,1320,1729,3,8,2.11,13,Beginner,5,0
L007,High,Visual,74,C042,Equilibrium,5,Video,600,181,1,9,1.2,16,Beginner,26,0
L007,High,Visual,74,C036,Equilibrium,2,Video,1080,1569,1,8,2.25,50,Intermediate,54,0
L007,High,Visual,74,C009,Kinetics,3,Video,600,629,2,4,1.45,14,Beginner,10,0
L007,High,Visual,74,C006,Equilibrium,5,Quiz,300,351,2,7,1.87,26,Beginner,33,0
L007,High,Visual,74,C010,Atomic Structure,5,Simulation,600,749,3,7,1.95,32,Beginner,39,0
L007,High,Visual,74,C012,Electrochemistry,2,Quiz,840,1094,1,11,2.4,73,Advanced,83,1
L007,High,Visual,74,C006,Organic Chemistry,5,Video,1140,1580,1,13,2.69,46,Intermediate,53,0
L007,High,Visual,74,C031,Atomic Structure,4,Quiz,1020,883,2,11,1.97,94,Advanced,86,1
L008,Low,Textual,70,C026,Kinetics,4,Quiz,480,583,3,14,2.61,73,Advanced,76,1
L008,Low,Textual,70,C006,Atomic Structure,2,Video,1080,1587,3,12,2.67,89,Advanced,87,1
L008,Low,Textual,70,C002,Kinetics,2,Quiz,300,309,1,8,1.83,36,Beginner,39,0
L008,Low,Textual,70,C048,Thermodynamics,2,Quiz,1260,1534,3,10,2.22,8,Beginner,0,0
L008,Low,Textual,70,C016,Thermodynamics,5,Quiz,1080,759,1,10,1.7,35,Beginner,45,0
L008,Low,Textual,70,C018,Organic Chemistry,3,Quiz,720,692,3,5,1.46,46,Intermediate,48,0
L008,Low,Textual,70,C016,Equilibrium,5,Text,780,924,2,9,2.08,34,Beginner,25,0
L008,Low,Textual,70,C026,Atomic Structure,1,Text,900,729,2,2,1.01,6,Beginner,-1,0
L008,Low,Textual,70,C006,Electrochemistry,3,Video,360,377,3,12,2.25,50,Intermediate,54,0
L008,Low,Textual,70,C045,Equilibrium,4,Text,600,739,1,8,2.03,32,Beginner,26,0
L008,Low,Textual,70,C004,Electrochemistry,5,Simulation,900,625,1,1,0.79,19,Beginner,22,0
L008,Low,Textual,70,C023,Acids & Bases,1,Simulation,660,762,1,13,2.45,93,Advanced,85,1
L008,Low,Textual,70,C018,Electrochemistry,3,Video,1380,1194,1,13,2.17,92,Advanced,87,1
L008,Low,Textual,70,C014,Thermodynamics,3,Text,1320,478,1,14,1.76,46,Intermediate,39,0
L008,Low,Textual,70,C024,Acids & Bases,2,Simulation,1260,1731,3,4,1.77,0,Beginner,3,0
L008,Low,Textual,70,C015,Electrochemistry,5,Simulation,660,249,3,10,1.38,73,Advanced,65,1
L008,Low,Textual,70,C010,Acids & Bases,2,Video,300,384,1,9,2.18,66,Intermediate,69,1
L008,Low,Textual,70,C025,Electrochemistry,1,Quiz,1140,1574,1,3,1.68,50,Intermediate,60,0
L008,Low,Textual,70,C043,Acids & Bases,4,Text,1140,1434,2,8,2.06,45,Intermediate,45,0
L008,Low,Textual,70,C049,Kinetics,4,Video,1440,1709,1,6,1.79,84,Advanced,81,1
L009,Low,Mixed,50,C030,Electrochemistry,2,Quiz,660,929,1,3,1.71,18,Beginner,25,0
L009,Low,Mixed,50,C013,Organic Chemistry,5,Text,1320,1624,2,1,1.33,46,Intermediate,52,0
L009,Low,Mixed,50,C004,Equilibrium,4,Quiz,900,709,3,7,1.49,11,Beginner,2,0
L009,Low,Mixed,50,C016,Equilibrium,5,Quiz,540,311,2,14,1.98,8,Beginner,17,0
L009,Low,Mixed,50,C017,Atomic Structure,5,Simulation,960,857,2,8,1.69,58,Intermediate,55,0
L009,Low,Mixed,50,C042,Organic Chemistry,1,Simulation,1320,1421,3,1,1.18,13,Beginner,15,0
L009,Low,Mixed,50,C014,Electrochemistry,2,Quiz,1020,604,2,11,1.69,3,Beginner,1,0
L009,Low,Mixed,50,C038,Atomic Structure,2,Quiz,540,463,3,6,1.46,17,Beginner,18,0
L009,Low,Mixed,50,C022,Equilibrium,4,Text,780,875,1,6,1.72,75,Advanced,76,1
L009,Low,Mixed,50,C035,Atomic Structure,5,Quiz,600,293,3,8,1.29,97,Advanced,96,1
L009,Low,Mixed,50,C026,Atomic Structure,5,Simulation,660,894,1,12,2.55,61,Intermediate,58,1
L009,Low,Mixed,50,C013,Atomic Structure,2,Video,900,969,1,3,1.38,52,Intermediate,59,0
L009,Low,Mixed,50,C009,Equilibrium,3,Quiz,900,650,1,11,1.82,38,Beginner,41,0
L009,Low,Mixed,50,C003,Equilibrium,3,Text,360,214,3,8,1.39,21,Beginner,27,0
L009,Low,Mixed,50,C029,Kinetics,1,Video,480,302,3,1,0.73,61,Intermediate,59,0
L009,Low,Mixed,50,C032,Kinetics,3,Video,360,375,1,10,2.04,65,Intermediate,67,1
L009,Low,Mixed,50,C031,Kinetics,1,Text,720,712,3,8,1.79,41,Intermediate,45,0
L009,Low,Mixed,50,C028,Organic Chemistry,3,Simulation,420,643,2,5,2.03,43,Intermediate,35,0
L009,Low,Mixed,50,C020,Acids & Bases,2,Text,960,750,3,1,0.88,60,Intermediate,54,0
L009,Low,Mixed,50,C045,Equilibrium,2,Simulation,1260,1166,3,12,2.13,61,Intermediate,56,1
L010,Low,Visual,43,C035,Kinetics,3,Quiz,720,997,1,6,1.98,79,Advanced,84,1
L010,Low,Visual,43,C002,Atomic Structure,1,Text,1320,1592,1,12,2.41,14,Beginner,16,0
L010,Low,Visual,43,C030,Kinetics,5,Quiz,1140,1175,1,7,1.73,25,Beginner,29,0
L010,Low,Visual,43,C030,Kinetics,5,Text,660,554,1,3,1.14,47,Intermediate,50,0
L010,Low,Visual,43,C024,Atomic Structure,2,Text,1320,1857,3,1,1.51,13,Beginner,21,0
L010,Low,Visual,43,C018,Organic Chemistry,4,Video,1020,189,2,3,0.49,36,Beginner,36,0
L010,Low,Visual,43,C031,Equilibrium,2,Quiz,960,1344,1,6,2.0,24,Beginner,22,0
L010,Low,Visual,43,C030,Organic Chemistry,2,Simulation,300,328,1,10,2.09,65,Intermediate,73,1
L010,Low,Visual,43,C035,Acids & Bases,2,Quiz,360,437,3,11,2.31,38,Beginner,35,0
L010,Low,Visual,43,C031,Acids & Bases,4,Quiz,1260,1277,1,14,2.41,56,Intermediate,51,0
L010,Low,Visual,43,C025,Kinetics,4,Text,1140,864,3,7,1.46,83,Advanced,89,1
L010,Low,Visual,43,C013,Kinetics,1,Quiz,1260,1184,3,13,2.24,13,Beginner,6,0
L010,Low,Visual,43,C030,Atomic Structure,4,Text,1320,554,3,10,1.42,36,Beginner,42,0
L010,Low,Visual,43,C041,Kinetics,3,Video,600,382,3,8,1.44,62,Intermediate,59,1
L010,Low,Visual,43,C013,Thermodynamics,3,Quiz,1020,974,1,6,1.55,73,Advanced,73,1
L010,Low,Visual,43,C020,Equilibrium,2,Video,780,625,1,10,1.8,2,Beginner,7,0
L010,Low,Visual,43,C010,Acids & Bases,5,Quiz,540,337,1,3,0.92,19,Beginner,13,0
L010,Low,Visual,43,C015,Kinetics,5,Simulation,840,984,3,2,1.37,81,Advanced,75,1
L010,Low,Visual,43,C035,Acids & Bases,3,Video,420,331,3,9,1.69,72,Advanced,79,1
L010,Low,Visual,43,C039,Organic Chemistry,5,Text,360,284,3,9,1.69,55,Intermediate,63,0
L011,High,Mixed,78,C019,Acids & Bases,4,Simulation,780,763,1,5,1.48,10,Beginner,19,0
L011,High,Mixed,78,C021,Electrochemistry,4,Text,1140,1075,2,8,1.74,4,Beginner,-1,0
L011,High,Mixed,78,C035,Atomic Structure,2,Video,1320,1115,1,2,1.04,39,Beginner,37,0
L011,High,Mixed,78,C016,Acids & Bases,5,Text,1380,1472,2,3,1.37,55,Intermediate,58,0
L011,High,Mixed,78,C033,Electrochemistry,2,Text,720,365,2,8,1.31,18,Beginner,13,0
L011,High,Mixed,78,C012,Thermodynamics,4,Quiz,300,341,3,11,2.24,47,Intermediate,49,0
L011,High,Mixed,78,C023,Organic Chemistry,5,Text,900,985,3,5,1.59,44,Intermediate,36,0
L011,High,Mixed,78,C040,Organic Chemistry,2,Text,840,681,3,5,1.31,29,Beginner,33,0
L011,High,Mixed,78,C041,Electrochemistry,2,Simulation,480,705,3,2,1.67,95,Advanced,93,1
L011,High,Mixed,78,C035,Electrochemistry,3,Quiz,1260,1389,1,1,1.2,94,Advanced,103,1
L011,High,Mixed,78,C026,Kinetics,4,Video,1020,925,2,7,1.61,73,Advanced,75,1
L011,High,Mixed,78,C018,Acids & Bases,2,Text,1140,1214,2,5,1.56,92,Advanced,99,1
L011,High,Mixed,78,C031,Atomic Structure,4,Simulation,480,453,1,12,2.14,21,Beginner,15,0
L011,High,Mixed,78,C011,Equilibrium,2,Video,300,263,2,10,1.88,81,Advanced,74,1
L011,High,Mixed,78,C032,Organic Chemistry,5,Simulation,960,799,1,12,2.03,6,Beginner,6,0
L011,High,Mixed,78,C022,Organic Chemistry,1,Video,600,667,3,3,1.41,74,Advanced,83,1
L011,High,Mixed,78,C027,Equilibrium,2,Text,480,271,3,7,1.26,28,Beginner,28,0
L011,High,Mixed,78,C014,Thermodynamics,4,Quiz,360,122,3,14,1.74,83,Advanced,83,1
L011,High,Mixed,78,C045,Thermodynamics,3,Simulation,420,501,1,11,2.29,83,Advanced,88,1
L011,High,Mixed,78,C041,Equilibrium,3,Quiz,540,523,3,11,2.07,0,Beginner,5,0
L012,Medium,Mixed,34,C014,Organic Chemistry,2,Quiz,420,429,2,12,2.22,79,Advanced,82,1
L012,Medium,Mixed,34,C030,Electrochemistry,4,Video,1080,1005,1,1,1.03,92,Advanced,95,1
L012,Medium,Mixed,34,C034,Organic Chemistry,3,Text,1080,960,1,12,2.09,52,Intermediate,60,0
L012,Medium,Mixed,34,C007,Electrochemistry,4,Quiz,1080,1087,3,9,1.91,93,Advanced,90,1
L012,Medium,Mixed,34,C008,Kinetics,1,Text,960,1065,1,12,2.31,62,Intermediate,71,1
L012,Medium,Mixed,34,C025,Equilibrium,3,Quiz,1020,536,1,8,1.33,20,Beginner,13,0
L012,Medium,Mixed,34,C006,Equilibrium,2,Quiz,1080,1473,2,9,2.26,7,Beginner,7,0
L012,Medium,Mixed,34,C043,Organic Chemistry,3,Simulation,780,953,1,12,2.42,45,Intermediate,41,0
L012,Medium,Mixed,34,C014,Atomic Structure,4,Simulation,1440,1951,2,12,2.55,96,Advanced,105,1
L012,Medium,Mixed,34,C007,Electrochemistry,1,Text,300,240,1,13,2.1,29,Beginner,39,0
L012,Medium,Mixed,34,C021,Acids & Bases,5,Video,1440,841,2,7,1.28,89,Advanced,86,1
L012,Medium,Mixed,34,C048,Organic Chemistry,2,Simulation,1320,881,3,2,0.87,43,Intermediate,37,0
L012,Medium,Mixed,34,C003,Atomic Structure,3,Text,420,446,1,7,1.76,94,Advanced,96,1
L012,Medium,Mixed,34,C010,Kinetics,2,Video,960,1213,2,12,2.46,61,Intermediate,52,1
L012,Medium,Mixed,34,C027,Acids & Bases,3,Simulation,660,788,2,10,2.19,21,Beginner,29,0
L012,Medium,Mixed,34,C019,Organic Chemistry,1,Simulation,840,1338,2,11,2.69,81,Advanced,80,1
L012,Medium,Mixed,34,C042,Thermodynamics,4,Text,1020,1744,3,7,2.41,99,Advanced,97,1
L012,Medium,Mixed,34,C011,Acids & Bases,5,Quiz,1380,1204,2,6,1.47,17,Beginner,9,0
L012,Medium,Mixed,34,C050,Electrochemistry,5,Simulation,780,582,3,3,1.05,60,Intermediate,56,1
L012,Medium,Mixed,34,C005,Acids & Bases,1,Video,660,657,1,14,2.4,84,Advanced,75,1
L013,Medium,Mixed,56,C021,Thermodynamics,4,Text,960,968,2,1,1.11,50,Intermediate,52,0
L013,Medium,Mixed,56,C050,Organic Chemistry,4,Simulation,360,530,2,2,1.67,35,Beginner,40,0
L013,Medium,Mixed,56,C024,Atomic Structure,2,Simulation,1380,1711,3,13,2.54,17,Beginner,20,0
L013,Medium,Mixed,56,C048,Kinetics,5,Quiz,1140,1201,1,3,1.35,25,Beginner,28,0
L013,Medium,Mixed,56,C036,Atomic Structure,4,Video,1200,1797,2,14,2.9,1,Beginner,7,0
L013,Medium,Mixed,56,C027,Thermodynamics,5,Video,600,829,1,9,2.28,61,Intermediate,57,1
L013,Medium,Mixed,56,C045,Atomic Structure,1,Text,1440,940,3,9,1.55,27,Beginner,36,0
L013,Medium,Mixed,56,C008,Acids & Bases,3,Text,540,591,1,1,1.19,39,Beginner,38,0
L013,Medium,Mixed,56,C044,Equilibrium,4,Simulation,1020,785,2,3,1.07,13,Beginner,8,0
L013,Medium,Mixed,56,C008,Thermodynamics,2,Video,840,648,2,9,1.67,0,Beginner,6,0
L013,Medium,Mixed,56,C021,Atomic Structure,4,Quiz,720,1044,2,4,1.85,27,Beginner,27,0
L013,Medium,Mixed,56,C020,Atomic Structure,5,Quiz,1140,1430,1,12,2.45,36,Beginner,30,0
L013,Medium,Mixed,56,C034,Equilibrium,1,Simulation,960,1275,2,12,2.53,60,Intermediate,51,1
L013,Medium,Mixed,56,C015,Equilibrium,2,Video,1080,1027,2,9,1.85,36,Beginner,27,0
L013,Medium,Mixed,56,C012,Organic Chemistry,2,Simulation,300,288,1,11,2.06,68,Intermediate,78,1
L013,Medium,Mixed,56,C038,Acids & Bases,1,Text,1380,951,2,12,1.89,19,Beginner,12,0
L013,Medium,Mixed,56,C002,Thermodynamics,3,Text,900,918,3,11,2.12,49,Intermediate,48,0
L013,Medium,Mixed,56,C003,Kinetics,4,Video,1020,1142,2,10,2.12,7,Beginner,0,0
L013,Medium,Mixed,56,C017,Electrochemistry,5,Text,300,235,2,5,1.28,85,Advanced,81,1
